filename,logit,time
<<<<<<< HEAD
./warped_images\warped_image_0.png,0.183406,0.923314
./warped_images\warped_image_0.png,0.183406,0.845207
./warped_images\warped_image_1.png,0.069663,0.850576
./warped_images\warped_image_1.png,0.069663,0.847769
./warped_images\warped_image_10.png,0.001801,7.342420
./warped_images\warped_image_10.png,0.001801,8.476541
./warped_images\warped_image_11.png,0.062209,0.942014
./warped_images\warped_image_11.png,0.062209,0.892925
./warped_images\warped_image_12.png,0.023116,0.908417
./warped_images\warped_image_12.png,0.023116,0.923867
./warped_images\warped_image_13.png,0.228169,0.862899
./warped_images\warped_image_13.png,0.228169,0.986196
./warped_images\warped_image_14.png,0.012951,0.876863
./warped_images\warped_image_14.png,0.012951,0.895347
./warped_images\warped_image_15.png,0.043035,0.859693
./warped_images\warped_image_15.png,0.043035,0.847638
./warped_images\warped_image_16.png,0.008448,0.862212
./warped_images\warped_image_16.png,0.008448,1.079851
./warped_images\warped_image_2.png,0.645926,0.940017
./warped_images\warped_image_2.png,0.645926,0.845218
./warped_images\warped_image_3.png,0.538603,0.860351
./warped_images\warped_image_3.png,0.538603,0.865460
./warped_images\warped_image_4.png,0.338329,0.852702
./warped_images\warped_image_4.png,0.338329,0.916469
./warped_images\warped_image_5.png,0.275239,0.845874
./warped_images\warped_image_5.png,0.275239,0.848053
./warped_images\warped_image_6.png,0.004487,7.393981
./warped_images\warped_image_6.png,0.004487,7.567711
./warped_images\warped_image_7.png,0.040688,7.442533
./warped_images\warped_image_7.png,0.040688,7.344916
./warped_images\warped_image_8.png,0.031849,7.351274
./warped_images\warped_image_8.png,0.031849,8.305353
./warped_images\warped_image_9.png,0.000197,8.710055
./warped_images\warped_image_9.png,0.000197,8.557489
=======
./warped_images\fake_biggan_warped.png,0.999995,0.899999
./warped_images\fake_biggan_warped.png,0.999995,0.055001
./warped_images\fake_cyclegan_warped.png,0.994375,0.053997
./warped_images\fake_cyclegan_warped.png,0.994375,0.048001
./warped_images\fake_pix2pix_warped.png,0.999998,0.044998
./warped_images\fake_pix2pix_warped.png,0.999998,0.046002
./warped_images\fake_progan_warped.png,1.000000,0.045001
./warped_images\fake_progan_warped.png,1.000000,0.044999
./warped_images\fake_realgan_warped.png,0.959177,0.045003
./warped_images\fake_realgan_warped.png,0.959177,0.046000
./warped_images\fake_stylegan_warped.png,0.996106,0.044999
./warped_images\fake_stylegan_warped.png,0.996106,0.044999
./warped_images\image_000001_warped.jpg,0.000003,0.366998
./warped_images\image_000001_warped.jpg,0.000003,0.332004
./warped_images\image_000002.jpeg,0.000566,0.330000
./warped_images\image_000002.jpeg,0.000566,0.331000
./warped_images\image_000003_warped.png,0.000859,0.334008
./warped_images\image_000003_warped.png,0.000859,0.337000
./warped_images\image_000004_warped.jpg,0.000000,0.331000
./warped_images\image_000004_warped.jpg,0.000000,0.332016
./warped_images\image_000005_warped.jpg,0.000000,0.331017
./warped_images\image_000005_warped.jpg,0.000000,0.331983
./warped_images\real_biggan_warped.png,0.000000,0.045996
./warped_images\real_biggan_warped.png,0.000000,0.045999
./warped_images\real_cyclegan_warped.png,0.000046,0.045000
./warped_images\real_cyclegan_warped.png,0.000046,0.046000
./warped_images\real_pix2pix_warped.png,0.441649,0.046000
./warped_images\real_pix2pix_warped.png,0.441649,0.045000
./warped_images\real_progan_warped.png,0.000000,0.045004
./warped_images\real_progan_warped.png,0.000000,0.045996
./warped_images\real_realgan_warped.png,0.001148,0.045001
./warped_images\real_realgan_warped.png,0.001148,0.045000
./warped_images\real_stylegan_warped.png,0.000000,0.046000
./warped_images\real_stylegan_warped.png,0.000000,0.046002
>>>>>>> 9bd2c5330126f656210f3cf81c825f51605cdae3
